1795	705	0.90625
2313	459	0.871581451
1407	160	0.848241206
2053	199	0.894736842
797	199	0.894736842
1059	199	0.888888889
1353	199	0.848722986
173	199	0.882352941
2079	199	0.846456693
481	199	0.85
2225	199	0.847619048
1244	199	0.8359375
118	199	0.855750487
793	199	0.847744361
2222	199	0.843023256
2620	436	0.944971537
2525	59	0.875796178
1327	59	0.778443114
2126	1246	0.924528302
2150	74	0.838147639
2591	781	0.924528302
2262	14	0.75
2434	14	0.71875
1867	14	0.905263158
2134	14	0.8
53	14	0.78125
818	14	0.8125
1323	14	0.857142857
2602	1137	0.891304348
1387	684	0.977054652
853	624	0.709552733
2220	624	0.709766415
2487	624	0.827431047
2189	65	0.82397677
1806	923	0.901482127
1160	298	0.8
1615	298	0.846153846
712	898	0.8
1671	898	0.8
2473	898	0.859747546
1861	93	0.830534613
2137	890	0.785276074
1516	890	0.716981132
476	26	1
727	26	0.866666667
748	800	0.783783784
2434	612	0.722222222
2369	612	0.8
931	612	0.714285714
478	612	0.875
1787	612	0.886925795
26	727	0.928571429
2273	947	0.823529412
2106	947	0.828488372
867	947	0.8
1538	595	0.818514644
2552	296	0.816958277
1976	462	0.777777778
1814	462	0.806451613
1664	462	0.716981132
2522	462	0.902887139
1145	462	0.81147541
456	462	0.758865248
1923	989	0.993079585
2326	354	1
1399	354	1
1423	354	1
95	354	1
184	354	1
1016	354	0.95
1382	354	0.884615385
1890	354	0.975
803	354	0.818181818
1339	354	0.745901639
2468	354	0.746835443
1416	653	0.813804173
448	653	0.820592824
543	653	0.819776715
2253	356	0.887850467
2608	368	0.871067961
1529	54	1
78	54	1
1699	54	1
2268	461	0.89679098
2424	635	0.826655052
2081	1057	0.9
2031	438	1
887	259	0.782122905
2010	259	0.808988764
467	259	0.786127168
1330	259	0.797814208
1512	259	0.788043478
1560	37	1
2148	37	1
1529	37	1
2310	37	1
1910	508	0.831502153
2336	1168	0.895622896
2425	302	0.992753623
2539	723	1
2209	166	1
2228	166	1
1116	166	1
1517	166	1
590	166	1
1679	1005	1
2083	870	0.982035928
2393	271	1
1189	271	1
2361	233	1
545	233	1
1440	233	0.971830986
2684	233	0.88961039
981	233	0.96969697
1123	233	0.883561644
1489	277	0.86875
1013	749	0.776859504
1659	749	0.807142857
216	749	0.777960526
1761	511	0.931386861
1443	559	0.914893617
1700	280	0.970454545
2490	469	0.886363636
2559	251	0.943925234
2513	991	0.909920182
935	765	0.735294118
1348	330	0.825890334
1783	686	1
1924	1273	0.811355311
2283	1156	0.788617886
887	1156	0.792
2010	1156	0.805084746
1238	1156	0.801652893
810	1156	0.801587302
2214	203	1
869	203	1
1740	842	1
1712	842	1
1579	842	1
1598	842	1
1039	842	1
230	842	1
873	842	0.75
660	842	1
847	842	1
1733	842	0.93902439
2279	32	1
1698	32	0.99047619
488	832	1
577	832	1
976	832	1
514	832	1
2198	875	0.851885756
2492	180	1
1721	49	0.757961783
858	49	0.755868545
2448	1267	0.921146953
2516	89	0.936781609
1431	721	0.929292929
2338	1133	0.837078652
2144	1133	0.835227273
2232	1133	0.82208589
1523	1133	0.817647059
778	1133	0.826347305
665	1133	0.810344828
726	1133	0.810650888
653	543	0.827697262
448	543	0.8296875
1416	543	0.823151125
1574	327	0.827777778
962	634	1
887	216	0.73088685
1013	216	0.829752066
2010	216	0.729532164
1659	216	0.830053667
749	216	0.826923077
653	216	0.703564728
1747	322	0.811320755
2221	1139	0.992063492
2619	548	0.736842105
1274	548	0.727272727
2090	1088	0.827574751
2666	573	0.899159664
2124	936	0.794117647
1653	973	0.767123288
308	973	0.774647887
1801	1296	0.707762557
1177	1296	0.728613569
631	1296	0.72489083
1934	1296	0.835571569
2685	1296	0.790890269
1201	1296	0.787941788
2590	699	0.877906977
1793	71	0.807511737
1888	71	0.8192
1998	71	0.817741935
1843	1045	0.857142857
2147	1045	0.774193548
2419	1045	0.888888889
60	1045	0.773195876
698	1045	1
123	1045	0.875
2558	1045	0.984375
1149	1045	0.8
2250	152	0.92
1974	152	0.982142857
740	152	0.923076923
1853	565	0.83583672
1421	1144	0.94351145
1729	520	0.822134387
1419	805	0.822682268
2468	1339	1
1890	1339	1
1578	1339	0.88961039
1423	1339	0.747933884
1016	1339	1
95	1339	0.911764706
354	1339	0.745901639
2326	1339	0.901960784
1418	493	1
2605	571	0.943342776
143	1122	0.763953205
1488	1122	0.765825101
2143	210	0.857142857
1927	341	0.931034483
1970	396	0.96
1298	306	1
601	306	1
385	306	1
960	306	1
887	810	0.808
2010	810	0.788135593
2283	810	0.772357724
1156	810	0.795275591
1238	810	0.809917355
2179	163	0.843137255
834	163	0.833333333
282	1255	1
1	1255	1
56	1255	1
346	1255	1
1535	470	0.825680934
385	960	1
306	960	1
1298	960	1
601	960	0.992647059
1059	118	0.944444444
2053	118	0.842105263
2225	118	0.844990548
173	118	0.705882353
481	118	0.9
797	118	0.842105263
199	118	0.852427184
2079	118	0.851851852
1244	118	0.840077071
793	118	0.843283582
2222	118	0.845124283
1353	118	0.850194553
1839	801	0.937219731
2384	388	1
1575	388	1
2005	388	1
2187	388	0.944785276
767	388	1
395	388	1
234	388	1
253	388	1
2484	876	0.992063492
445	1282	0.8
1243	1282	0.741935484
2356	485	1
2545	485	1
